"Last updated","Type","Suburb","Venue","Address","Date and time of exposure","Health advice"
"11/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Glebe","Harvey Norman Broadway","1 Bay Street","11:40am to 12:10pm on Thursday 8 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"11/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Glebe","JB HiFi Broadway","1 Bay Street","2pm to 2:45pm on Thursday 8 July 202112pm to 12:30pm on Sunday 4 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"11/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Glebe","Kmart Broadway","1 Bay Street","12:15pm to 12:30pm on Thursday 8 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"11/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Glebe","Liquorland Broadway","213 Broadway","2:30pm to 3pm on Sunday 4 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"11/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Greenacre","Gloria Jeans Greenacre drive through","2/51 Roberts Road","7:15pm to 10:30pm on Wednesday 7 July 20215:30pm to 5:45pm on Tuesday 6 July 20217pm to 10pm on Monday 5 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"11/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Hurstville","Coles Hurstville Station","225 Forest Road","10:30pm to 10:45pm on Tuesday 6 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"11/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Hurstville","Coles Westfield Hurstville","Cross Street and Park Road","10:15pm to 10:30pm on Wednesday 7 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"11/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Hurstville","N and G Mechanical Repairs (including the shared car park with Speedy Tyres)","67 Forest Road","1:30pm to 2pm on Saturday 3 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"11/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Kareela","El Portico Chicken","UL7 1-13 Freya STreet","5:45pm to 6:10pm on Wednesday 7 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"11/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Kogarah","Cafe 959","13 Gray Street","9:30am to 10am on Monday 5 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"11/07/2021","Get tested immediately and self-isolate for 14 days","Kogarah","Commonwealth Bank Kogarah","104-106 Railway Parade","3:05pm to 3:35pm on Monday 5 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"11/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Kogarah","Kogarah Fish Market","Shop 11/11 Kensington Street","1pm to 2pm on Wednesday 7 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"11/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Kogarah","Kogarah Golden Chopsticks","11 Kensington Street","4:15pm to 4:45pm on Wednesday 7 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"11/07/2021","Get tested immediately and self-isolate for 14 days","Kogarah","President Ave Fruit World","60 President Avenue","11am to 11:15am on Monday 5 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"11/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Kogarah","Pulse Espresso Bar","4/26-28 Belgrave Street","12:45pm to 1:15pm on Wednesday 7 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"11/07/2021","Get tested immediately and self-isolate for 14 days","Kogarah","Supreme Pizza Kogarah","29 Rocky Point Road","3pm to 10pm on Tuesday 6 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"11/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Manly","Gloria Jeans Coffees Manly Wharf","Kiosk 1, Manly Wharf, E Esplanade","1:45pm to 2pm on Saturday 3 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"11/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Manly","Guzman Y Gomez Manly Wharf","Shop 14 Manly Wharf, E Esplanade","1:50pm to 2:05pm on Saturday 3 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"11/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Miranda","David Jones Miranda Westfield","600 The Kingsway","11:30am to 11:45am on Tuesday 6 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"11/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Miranda","JD Sports Miranda Westfield","600 Kingsway","10am to 11am on Tuesday 6 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"11/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Prestons","McDonalds Cartwright","2 Lyn Parade","10:50am to 11:45am on Monday 5 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"11/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Pyrmont","Bar Zini Pyrmont","78 Harris Street","10am to 10:15am on Thursday 8 July 20211pm to 1:15pm on Wednesday 7 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"11/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Pyrmont","Jumbo Thai","60 Union Street","6:30pm to 7pm on Thursday 8 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"11/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Ramsgate","Coles Ramsgate","277 The Grand Parade","4:45pm to 5pm on Tuesday 6 July 20216am to 10am on Sunday 4 July 20219:50pm to 10pm on Saturday 3 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"11/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Riverwood","Woolworths Riverwood Plaza","247 Belmore Road","12pm to 12:30pm on Wednesday 7 July 202110:45am to 12:15pm on Monday 5 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"11/07/2021","Get tested immediately and self-isolate for 14 days","Rockdale","KFC Rockdale","274 Princes Highway","10:30am to 4:30pm on Thursday 8 July 202110:30am to 4pm on Wednesday 7 July 202110am to 4pm on Tuesday 6 July 202110:30am to 4:30pm on Monday 5 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"11/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Sydney","Priceline Pharmacy World Square","Ground Level 9/644 George Street World Square","5:30pm to 6pm on Thursday 8 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"11/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Wetherill Park","Greenway Smiles Dental","1183-1187 The Horsley Drive","11:15am to 11:30am on Friday 9 July 20212:45pm to 3:30pm on Wednesday 7 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"11/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Wetherill Park","Officeworks Wetherill Park","Greenway Supacenta, The Horsley Drive","2:45pm to 3:15pm on Thursday 8 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"10/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Bass Hill","Speedway Bass Hill  Petrol Station","966/972 Hume Highway","2:30pm to 2:35pm on Wednesday 7 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"10/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Carlingford","Fruit World","Pennant Hills Road and Carlingford Road","4pm to 4:15pm on Wednesday 7 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"10/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Carlingford","Oporto Carlingford Shopping Center","Pennant Hills Road and Carlingford Road","4:40pm to 5pm on Wednesday 7 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"10/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Carlingford","Tong Li Supermarket Carlingford","Pennant Hills Road and Carlingford Road","3:30pm to 3:45pm on Wednesday 7 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"10/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Carlingford","Woolworths Carlingford Shopping Center","Pennant Hills Road and Carlingford Road","4:20pm to 4:40pm on Wednesday 7 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"10/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Carlingford","Ximi Vogue","Pennant Hills Road and Carlingford Road","3:40pm to 3:55pm on Wednesday 7 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"10/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Chipping Norton","Sydney Manoosh","9/94 Childs Road","12pm to 12:10pm on Monday 5 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"10/07/2021","Get tested immediately and self-isolate for 14 days","Fairfield","Freshness 4 Less","74 Ware Street","12pm to 1pm on Sunday 4 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"10/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Greenacre","Your Discount Chemist Greenacre","Shop 1/19 Boronia Road","1:55pm to 2:05pm on Tuesday 6 July 20212pm to 2:15pm on Monday 5 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"10/07/2021","Get tested immediately and self-isolate for 14 days","Greenacre","Greenacre Medical Centre","168 Waterloo Road","12:40pm to 1:45pm on Tuesday 6 July 202111:40am to 1:50pm on Monday 5 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"10/07/2021","Get tested immediately and self-isolate for 14 days","Greenacre","St Peters Cafe On Wentworth","29 Wentworth Street","6am to 6:30am on Monday 5 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"10/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Hurstville","Chemist Warehouse Westfield Hurstville","Level 1 Westfield Hurstville","2:45pm to 3:15pm on Tuesday 6 July 20211:30pm to 1:55pm on Friday 2 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"10/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Kensington","Stable talk cafe","126 Anzac Parade","11am to 11:30am on Saturday 3 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"10/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Maroubra","Chemist Warehouse Maroubra","229-231 Maroubra Road","9:55am to 10:30am on Monday 5 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"10/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Maroubra","Eksentric Cafe Maroubra","765a Anzac Parade","9:30am to 9:40am on Monday 5 July 202111:40am to 11:45am on Sunday 4 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"10/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Menai","KFC Menai","Central Shopping Plaza, 5 Carter Road","6pm to 6:15pm on Monday 5 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"10/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Menai","McDonalds Menai","Corner Allison Crescent and Macmahon Place","1:40pm to 2pm on Monday 5 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"10/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Merrylands","MV Meat, Stocklands Merrylands","1 Pitt Street","5:05pm to 5:15pm on Saturday 3 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"10/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Merrylands","Trim's Fresh, Stockland Merrylands","1 Pitt Street","5:10pm to 5:20pm on Saturday 3 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"10/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Miranda","Aldi Miranda","14-16 Wandella Road","11:45am to 12:15pm on Wednesday 7 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"10/07/2021","Get tested immediately and self-isolate for 14 days","Miranda","Bupa Dental Miranda","600 Kingsway","10:50am to 12:10pm on Wednesday 7 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"10/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Moorebank","7-Eleven","102 Heathcote Road","9pm to 9:15pm on Tuesday 6 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"10/07/2021","Get tested immediately and self-isolate for 14 days","Moorebank","Butcher Shed Moorebank Shopping Centre","Shop 16/42 Stockton Avenue","1pm to 1:15pm on Tuesday 6 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"10/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Padstow","Bunnings Padstow","88 Fairford Road","3:45pm to 3:55pm on Sunday 4 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"10/07/2021","Get tested immediately and self-isolate for 14 days","Penrith","Barbeques Galore","2/120 Mulgoa Road","2:30pm to 3:45pm on Tuesday 6 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"10/07/2021","Get tested immediately and self-isolate for 14 days","Punchbowl","Chemist Warehouse Punchbowl","18/1 Broadway","9:20am to 9:40am on Thursday 8 July 2021","Anyone who attended this venue is a                    close contact and must immediately                    get tested and                    self-isolate for 14 days regardless of the result, and call 1800 943 553 unless they have already been contacted by NSW Health."
"10/07/2021","Monitor for symptoms","Punchbowl","The Broadway Plaza Punchbowl","1 Broadway Plaza","8:50am to 9:50am on Thursday 8 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur                    get tested immediately and                    self-isolate until you receive a negative result."
"10/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Revesby","Metro Petroleum","10-12 Milperra Road","2pm to 2:05pm on Tuesday 6 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"10/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Rockdale","The Roll Japanese Restaurant","Shop 8/10 King Street","4:30pm to 4:45pm on Wednesday 7 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"10/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Roselands","Kmart Roselands","Roselands Shopping Centre, 24 Roselands Drive","10:45am to 11:15am on Saturday 3 July 20214:35pm to 4:50pm on Tuesday 29 June 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"10/07/2021","Monitor for symptoms","Roselands","Roselands Shopping Centre","24 Roselands Drive","7am to 11am on Saturday 3 July 202110:30am to 11am on Thursday 1 July 202110:30am to 11am on Wednesday 30 June 20218am to 3:30pm on Wednesday 30 June 20218am to 4:45pm on Tuesday 29 June 20218am to 5:15pm on Monday 28 June 2021","Anyone who attended this venue must monitor for symptoms and if they occur                    get tested immediately and                    self-isolate until you receive a negative result."
"10/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Sans Souci","Blackbird and Co.","310 The Grand Parade","8:20am to 8:40am on Wednesday 7 July 20217am to 7:15am on Tuesday 6 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"10/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Sans Souci","McDonalds Sans Souci","494 Rocky Point Road","3:30pm to 3:35pm on Sunday 4 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"10/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Sylvania","Sushi Hub Southgate","Kiosk 11 Southgate Shopping Centre, 124 Corner of Princes Highway and Port Hacking Road","2pm to 2:05pm on Sunday 4 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"10/07/2021","Monitor for symptoms","Ultimo","Broadway Shopping Centre","1 Bay Street","11:30am to 1:30pm on Thursday 8 July 2021","Anyone who attended this venue must monitor for symptoms and if they occur                    get tested immediately and                    self-isolate until you receive a negative result."
"10/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Wetherill Park","Chemistworks Wetherill Park","561-583 Polding Street","5:30pm to 6:30pm on Sunday 4 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
"10/07/2021","Get tested immediately. Self-isolate until you get a negative result.","Wetherill Park","Chemistworks Wetherill Park","Stockland Shopping Centre, 561 Polding Street","11:30am to 12:15pm on Monday 5 July 2021","Anyone who attended this venue is a                    casual contact and must                    get tested and                    self-isolate until they receive a negative result. If your date of exposure at this venue occurred in last 4 days, you must get another test on day 5 from the date of exposure. Wear a mask around others and limit your movements until you get another negative result.  You should continue to monitor for symptoms and if any symptoms occur, get tested again."
